x,y,code,name
7.2274733,4.462783,B41J2,Placeholder
1.7250907,4.166638,C07C319,Placeholder
10.507763,5.602399,A63B24,Placeholder
9.881178,8.362382,H04R3,Placeholder
3.616652,6.0154095,C05G3,Placeholder
2.321248,1.2058992,C10N40,Placeholder
5.11248,3.8991234,D21H19,Placeholder
8.236082,4.948186,A61J3,Placeholder
12.623574,6.147272,H01R12,Placeholder
9.87441,6.7981324,A61B7,Placeholder
11.420775,3.6085675,E05F5,Placeholder
3.5781367,3.2365158,C08L81,Placeholder
5.264099,4.3138733,D06M16,Placeholder
7.409428,1.9391569,D21B1,Placeholder
9.7182865,5.1050215,H05K5,Placeholder
3.2435472,2.5480075,B60C1,Placeholder
9.794356,4.4020314,A47G1,Placeholder
11.3304405,4.068543,B25J17,Placeholder
10.85627,4.7210855,A61G3,Placeholder
1.9022244,3.8067381,C07C63,Placeholder
12.884454,1.040517,A43B13,Placeholder
11.22034,7.90289,G01R13,Placeholder
10.183273,0.8146868,F04B15,Placeholder
9.330536,7.29604,B60R1,Placeholder
5.170479,4.432092,B41M1,Placeholder
10.092672,0.57972986,F02B67,Placeholder
8.366884,3.4851222,B65D41,Placeholder
7.986429,6.621526,H01L23,Placeholder
11.882874,8.322865,H03K7,Placeholder
7.945294,2.2218187,B24C5,Placeholder
5.3342752,1.347538,C22B34,Placeholder
11.487148,5.49086,B66B3,Placeholder
8.461025,3.6511374,A47J47,Placeholder
1.8635732,4.2897058,C07D307,Placeholder
12.356787,7.2046666,B60L1,Placeholder
7.310923,-0.059260137,H05B3,Placeholder
9.966292,7.006185,G16H20,Placeholder
5.1804643,0.188304,C10G65,Placeholder
3.1231995,3.5193343,B01F17,Placeholder
7.3212757,6.943506,G21B1,Placeholder
10.082969,2.9950938,B24B45,Placeholder
7.32519,-0.97032017,F28F9,Placeholder
9.492374,4.450059,B66B23,Placeholder
3.5432167,5.4050255,A23B4,Placeholder
9.89255,-0.19092754,F02P5,Placeholder
3.9650161,4.520051,A61L29,Placeholder
5.7721806,2.2588162,H01F41,Placeholder
11.088114,4.5023537,B25J18,Placeholder
3.2841396,4.412488,A61Q17,Placeholder
8.403676,7.384432,G02F1,Placeholder
12.500166,3.385682,F16D48,Placeholder
12.882258,1.042691,A43B7,Placeholder
