x,y,code,name,name_full
9.383328,0.9271205,B41J2,Typewriters or selective printing mechanisms ch...,"Typewriters or selective printing mechanisms characterised by the printing or marking process for which they are designed  (mounting, arrangement or disposition of types or dies B41J"
15.263934,1.2613766,E05B13,Devices preventing the key or the handle or bot...,"Devices preventing the key or the handle or both from being used[1,2006.01]IPC (2023.01), Section E 1E05B"
13.395919,4.1459527,G06F111,Details relating to CAD techniques [2020.01],Details relating to CAD techniques [2020.01]
3.59463,-1.9740659,C07C319,"Preparation of thiols, sulfides, hydropolysulfi...","Preparation of thiols, sulfides, hydropolysulfides or polysulfides[5,2006.01]"
11.322098,4.1410317,A63B24,Electric or electronic controls for exercising ...,Electric or electronic controls for exercising apparatus of groups A63B
14.094194,5.7193255,H04R3,Circuits for transducers  (arrangements for pro...,Circuits for transducers  (arrangements for producing areverberation or echo sound G10K
15.263452,1.2618923,E05C3,Fastening devices with bolts moving pivotally o...,Fastening devices with bolts moving pivotally or rotatively (devices released automatically by pull or pressure on the wing E05C
5.9639544,-3.1426406,C05G3,Mixtures of one or more fertilisers with additi...,"Mixtures of one or more fertilisers with additives not having a specifically fertilising activity[1,2006.01,2020.01]"
-0.6584388,6.120832,C10N40,Specified use or application for which the lubr...,"Specified use or application for which the lubricatingcomposition is intended [4,2006.01]"
4.40467,2.9450426,D21H19,Coated paper (coated fibreboard D21J,Coated paper (coated fibreboard D21J
9.9610615,1.9211872,A61J3,Devices or methods specially adapted for bringi...,"Devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms (chemical aspects, see the relevantclasses)[1,2006.01]"
8.2772875,4.353677,F16B4,"Shrinkage connection, e.g. assembled with the p...","Shrinkage connection, e.g. assembled with the parts at different temperature; Force fits  (restricted to metalparts or objects B23P"
7.4189925,5.624436,H01R12,Structural associations of a plurality of mutua...,"Structural associations of a plurality of mutually-insulated electrical connecting elements, specially adapted for printed circuits, e.g. printed circuit boards [PCB], flat or ribbon cables, or like generally planar structures, e.g. terminal strips, terminal blocks; Coupling devices specially adapted for printed circuits, flat or ribbon cables, or like generally planar structures; Terminals specially adapted for contact with, or insertion into, printed circuits, flat or ribbon cables, or like generally planar structures (printed connections to, or between, printed circuits H05K"
12.3734865,4.011988,A61B7,"Instruments for auscultation [1,2006.01]","Instruments for auscultation [1,2006.01]"
14.941056,1.5161994,E05F5,"Braking devices, e.g. checks; Stops; Buffers  (...","Braking devices, e.g. checks; Stops; Buffers  (construction of pneumatic or liquid braking devices E05F"
3.5271814,2.2319984,C08L81,Compositions of macromolecular compounds obtain...,"Compositions of macromolecular compounds obtained by reactions forming in the main chain of the macromolecule a linkage containing sulfur with or without nitrogen, oxygen, or carbon only; Compositions of polysulfones; Compositions of derivatives of such polymers [2,2006.01]"
3.9527268,3.0094066,D21B1,,
4.056466,3.3078907,D06M16,and indexed in group D06M,and indexed in group D06M
9.479455,3.9648454,H05K5,"Casings, cabinets or drawers for electric appar...","Casings, cabinets or drawers for electric apparatus[1,2006.01]"
1.9870882,2.2248294,B60C1,"takes precedence)[1,2,2006.01]","takes precedence)[1,2,2006.01]"
